n,status,witness,digits
13,small_factor,137,
17,small_factor,109,
22,small_factor,11,
26,small_factor,13,
37,small_factor,17,
38,composite_prp,,114
41,small_factor,173,
46,composite_prp,,184
53,small_factor,61,
58,small_factor,157,
61,small_factor,43,
62,small_factor,37,
73,composite_prp,,292
77,small_factor,11,
82,small_factor,12763,
86,small_factor,19,
97,small_factor,79,
98,small_factor,9677,
101,small_factor,101,
106,composite_prp,,424
113,small_factor,1217,
118,small_factor,359,
121,small_factor,11,
122,small_factor,23,
133,small_factor,6011,
137,small_factor,53891,
142,small_factor,59,
146,small_factor,61,
157,small_factor,7,
158,small_factor,107,
161,composite_prp,,805
166,composite_prp,,830
173,small_factor,7,
178,small_factor,47,
181,composite_prp,,905
182,small_factor,29,
193,composite_prp,,965
197,small_factor,59,
202,small_factor,457,
206,small_factor,613,
217,composite_prp,,1085
218,small_factor,97,
221,small_factor,7,
226,small_factor,53,
233,small_factor,19,
238,small_factor,67,
241,small_factor,7,
242,small_factor,11,
253,small_factor,61,
257,small_factor,7,
262,composite_prp,,1310
266,small_factor,109,
277,small_factor,58831,
278,small_factor,41,
281,small_factor,43,
286,small_factor,11,
293,composite_prp,,1465
298,small_factor,109,
301,small_factor,23,
302,small_factor,71,
313,small_factor,19,
317,small_factor,23,
322,composite_prp,,1610
326,small_factor,10709,
337,small_factor,41,
338,small_factor,43,
341,small_factor,7,
346,composite_prp,,1730
353,small_factor,29,
358,small_factor,397,
361,small_factor,17,
362,small_factor,23,
373,small_factor,7,
377,composite_prp,,1885
382,small_factor,20389,
386,small_factor,43,
397,composite_prp,,1985
398,small_factor,53,
401,small_factor,17,
406,composite_prp,,2030
413,composite_prp,,2065
418,small_factor,11,
421,small_factor,461,
422,composite_prp,,2110
433,small_factor,251,
437,small_factor,103801,
442,small_factor,41,
446,small_factor,157,
457,composite_prp,,2742
458,small_factor,31,
461,small_factor,61,
466,small_factor,277,
473,small_factor,11,
478,small_factor,19,
481,small_factor,13,
482,composite_prp,,2892
493,composite_prp,,2958
497,small_factor,7,
502,small_factor,13,
506,small_factor,11,
517,small_factor,11,
518,small_factor,7,
521,small_factor,47,
526,composite_prp,,3156
533,small_factor,13,
538,small_factor,13,
541,small_factor,13,
542,small_factor,137,
553,small_factor,7,
557,small_factor,3677,
562,small_factor,947,
566,small_factor,23,
577,small_factor,13,
578,composite_prp,,3468
581,small_factor,7,
586,small_factor,37,
593,small_factor,13,
598,small_factor,13,
601,small_factor,199,
602,small_factor,7,
613,small_factor,31,
617,composite_prp,,3702
622,small_factor,158617,
626,small_factor,479,
637,small_factor,7,
638,small_factor,11,
641,composite_prp,,3846
646,small_factor,911,
653,small_factor,123733,
658,small_factor,7,
661,small_factor,107,
662,small_factor,19,
673,small_factor,433,
677,small_factor,130729,
682,small_factor,11,
686,small_factor,7,
697,small_factor,13,
698,small_factor,79,
701,small_factor,19,
706,small_factor,19,
713,small_factor,653,
718,small_factor,797,
721,small_factor,7,
722,composite_prp,,4332
733,small_factor,13,
737,small_factor,11,
742,small_factor,7,
746,small_factor,13,
757,composite_prp,,4542
758,small_factor,19,
761,composite_prp,,4566
766,small_factor,29,
773,composite_prp,,4638
778,small_factor,2339,
781,small_factor,11,
782,small_factor,31,
793,small_factor,13,
797,composite_prp,,4782
802,composite_prp,,4812
806,small_factor,13,
817,composite_prp,,4902
818,small_factor,59,
821,small_factor,43,
826,small_factor,7,
833,small_factor,7,
838,small_factor,19,
841,composite_prp,,5046
842,small_factor,31,
853,small_factor,13,
857,small_factor,17,
862,small_factor,17609,
866,small_factor,13,
877,small_factor,19,
878,small_factor,29,
881,composite_prp,,5286
886,small_factor,967,
893,small_factor,59,
898,composite_prp,,5388
901,small_factor,71,
902,small_factor,11,
913,small_factor,11,
917,small_factor,7,
922,composite_prp,,5532
926,composite_prp,,5556
937,small_factor,31,
938,small_factor,7,
941,small_factor,13,
946,small_factor,11,
953,small_factor,373,
958,small_factor,181,
961,small_factor,103,
962,small_factor,13,
973,small_factor,7,
977,small_factor,47,
982,small_factor,367,
986,small_factor,19,
997,small_factor,31,
998,small_factor,1987,
