n,status,witness,digits
1001,small_factor,7,
1006,small_factor,13,
1013,small_factor,383,
1018,small_factor,31,
1021,composite_prp,,6126
1022,small_factor,7,
1033,composite_prp,,6198
1037,small_factor,7121,
1042,small_factor,37,
1046,small_factor,2837,
1057,small_factor,7,
1058,small_factor,13,
1061,small_factor,13,
1066,small_factor,13,
1073,small_factor,37,
1078,small_factor,7,
1081,small_factor,47,
1082,composite_prp,,6492
1093,small_factor,307,
1097,small_factor,13,
1102,small_factor,137,
1106,small_factor,7,
1117,small_factor,3823,
1118,small_factor,13,
1121,small_factor,101,
1126,small_factor,13,
1133,small_factor,11,
1138,small_factor,4019,
1141,small_factor,7,
1142,composite_prp,,6852
1153,small_factor,37,
1157,small_factor,13,
1162,small_factor,7,
1166,small_factor,11,
1177,small_factor,11,
1178,small_factor,13,
1181,small_factor,67429,
1186,small_factor,401,
1193,small_factor,47,
1198,small_factor,23,
1201,small_factor,13,
1202,small_factor,163,
1213,small_factor,53,
1217,small_factor,13,
1222,small_factor,13,
1226,small_factor,743,
1237,small_factor,19,
1238,small_factor,191,
1241,small_factor,131,
1246,small_factor,7,
1253,small_factor,7,
1258,small_factor,37,
1261,small_factor,13,
1262,composite_prp,,7572
1273,small_factor,467,
1277,small_factor,1399,
1282,small_factor,13,
1286,small_factor,43,
1297,composite_prp,,7782
1298,small_factor,11,
1301,small_factor,37,
1306,small_factor,41,
1313,small_factor,13,
1318,small_factor,13,
1321,small_factor,13,
1322,small_factor,5701,
1333,small_factor,19,
1337,small_factor,7,
1342,small_factor,11,
1346,small_factor,19,
1357,small_factor,13,
1358,small_factor,7,
1361,composite_prp,,8166
1366,small_factor,163,
1373,small_factor,13,
1378,small_factor,13,
1381,composite_prp,,8286
1382,small_factor,1427,
1393,small_factor,7,
1397,small_factor,11,
1402,small_factor,31,
1406,small_factor,37,
1417,composite_prp,,9919
1418,small_factor,7,
1421,small_factor,13,
1426,small_factor,311,
1433,small_factor,31,
1438,small_factor,7,
1441,small_factor,13,
1442,composite_prp,,10094
1453,small_factor,97,
1457,small_factor,79,
1462,small_factor,79,
1466,composite_prp,,10262
1477,small_factor,43,
1478,composite_prp,,10346
1481,composite_prp,,10367
1486,small_factor,47,
1493,small_factor,19,
1498,small_factor,37,
1501,small_factor,677,
1502,small_factor,7,
1513,composite_prp,,10591
1517,small_factor,116989,
1522,small_factor,7,
1526,small_factor,59,
1537,small_factor,1193,
1538,composite_prp,,10766
1541,small_factor,337,
1546,small_factor,109,
1553,small_factor,41,
1558,small_factor,153259,
1561,small_factor,31,
1562,small_factor,11,
1573,small_factor,23,
1577,small_factor,13,
1582,composite_prp,,11074
1586,small_factor,7,
1597,small_factor,13,
1598,small_factor,3251,
1601,small_factor,13,
1606,small_factor,7,
1613,small_factor,31,
1618,small_factor,7,
1621,small_factor,13,
1622,composite_prp,,11354
1633,composite_prp,,11431
1637,composite_prp,,11459
1642,small_factor,31,
1646,small_factor,29989,
1657,small_factor,19,
1658,small_factor,7,
1661,small_factor,41,
1666,small_factor,191,
1673,small_factor,239,
1678,small_factor,29,
1681,small_factor,127,
1682,small_factor,43,
1693,composite_prp,,11851
1697,small_factor,29,
1702,small_factor,7,
1706,composite_prp,,11942
1717,small_factor,19,
1718,small_factor,61,
1721,small_factor,37,
1726,small_factor,79,
1733,small_factor,13,
1738,small_factor,11,
1741,composite_prp,,12187
1742,small_factor,7,
1753,small_factor,13,
1757,small_factor,13,
1762,small_factor,224209,
1766,small_factor,23,
1777,small_factor,13,
1778,small_factor,883,
1781,composite_prp,,12467
1786,small_factor,7,
1793,small_factor,7607,
1798,composite_prp,,12586
1801,small_factor,41,
1802,small_factor,29,
1813,small_factor,29,
1817,small_factor,241,
1822,small_factor,31,
1826,small_factor,7,
1837,small_factor,20113,
1838,small_factor,7,
1841,small_factor,47,
1846,small_factor,4649,
1853,small_factor,29,
1858,small_factor,7,
1861,small_factor,47,
1862,small_factor,40169,
1873,composite_prp,,13111
1877,small_factor,43,
1882,small_factor,197,
1886,small_factor,6197,
1897,small_factor,6833,
1898,small_factor,31,
1901,small_factor,103,
1906,composite_prp,,13342
1913,small_factor,13,
1918,small_factor,29,
1921,small_factor,15791,
1922,small_factor,7,
1933,small_factor,13,
1937,small_factor,59,
1942,small_factor,7,
1946,composite_prp,,13622
1957,small_factor,1063,
1958,small_factor,11,
1961,small_factor,64271,
1966,small_factor,3407,
1973,composite_prp,,13811
1978,composite_prp,,13846
1981,small_factor,157,
1982,small_factor,17,
1993,small_factor,43,
1997,composite_prp,,13979
2002,small_factor,11,
2006,small_factor,7,
2017,small_factor,89,
2018,composite_prp,,14126
2021,composite_prp,,14147
2026,small_factor,7,
2033,composite_prp,,14231
2038,small_factor,7,
2041,small_factor,17,
2042,small_factor,953,
2053,small_factor,37,
2057,small_factor,47,
2062,small_factor,41,
2066,small_factor,173,
2077,small_factor,14479,
2078,small_factor,7,
2081,small_factor,521,
2086,small_factor,17,
2093,composite_prp,,14651
2098,small_factor,17,
2101,composite_prp,,14707
2102,small_factor,15739,
2113,small_factor,467,
2117,small_factor,1753,
2122,small_factor,7,
2126,small_factor,23,
2137,small_factor,41,
2138,composite_prp,,14966
2141,small_factor,23,
2146,small_factor,17,
2153,small_factor,17,
2158,small_factor,37,
2161,small_factor,23,
2162,small_factor,7,
2173,small_factor,23,
2177,small_factor,19,
2182,small_factor,31147,
2186,small_factor,241,
2197,small_factor,839,
2198,small_factor,43,
2201,small_factor,13,
2206,small_factor,7,
2213,small_factor,179,
2218,composite_prp,,15526
2221,small_factor,13,
2222,small_factor,11,
2233,small_factor,197,
2237,small_factor,23,
2242,composite_prp,,15694
2246,small_factor,7,
2257,small_factor,113,
2258,small_factor,7,
2261,small_factor,3049,
2266,small_factor,11,
2273,small_factor,4801,
2278,small_factor,7,
2281,composite_prp,,15967
2282,small_factor,23,
2293,small_factor,13367,
2297,small_factor,103,
2302,composite_prp,,16114
2306,composite_prp,,16142
2317,small_factor,23,
2318,small_factor,73,
2321,small_factor,4159,
2326,composite_prp,,16282
2333,composite_prp,,16331
2338,small_factor,14071,
2341,small_factor,19,
2342,small_factor,7,
2353,composite_prp,,16471
2357,small_factor,13,
2362,small_factor,7,
2366,small_factor,71,
2377,small_factor,13,
2378,small_factor,74597,
2381,small_factor,13,
2386,small_factor,37,
2393,small_factor,23,
2398,small_factor,11,
2401,small_factor,13,
2402,small_factor,2777,
2413,small_factor,23,
2417,small_factor,2089,
2422,small_factor,17,
2426,small_factor,7,
2437,small_factor,73,
2438,small_factor,631,
2441,small_factor,19,
2446,small_factor,7,
2453,small_factor,109,
2458,small_factor,7,
2461,small_factor,101,
2462,small_factor,12163,
2473,small_factor,79,
2477,small_factor,523,
2482,composite_prp,,17374
2486,small_factor,11,
2497,small_factor,37,
2498,small_factor,7,
2501,small_factor,257,
2506,small_factor,31,
2513,small_factor,13,
2518,composite_prp,,17626
2521,small_factor,33377,
2522,small_factor,43,
2533,small_factor,13,
2537,small_factor,13,
2542,small_factor,7,
2546,small_factor,23,
2557,small_factor,13,
2558,small_factor,47,
2561,composite_prp,,17927
2566,small_factor,431,
2573,small_factor,2273,
2578,small_factor,41,
2581,small_factor,271,
2582,small_factor,7,
2593,small_factor,14051,
2597,small_factor,8663,
2602,small_factor,37,
2606,small_factor,29,
2617,small_factor,1657,
2618,small_factor,11,
2621,small_factor,41,
2626,small_factor,7,
2633,composite_prp,,18431
2638,small_factor,43,
2641,small_factor,71,
2642,small_factor,17,
2653,small_factor,41,
2657,composite_prp,,18599
2662,small_factor,11,
2666,small_factor,7,
2677,small_factor,41,
2678,small_factor,7,
2681,small_factor,211,
2686,small_factor,41,
2693,small_factor,13,
2698,small_factor,7,
2701,small_factor,157,
2702,small_factor,113,
2713,small_factor,13,
2717,small_factor,769,
2722,small_factor,29,
2726,small_factor,37,
2737,small_factor,53,
2738,small_factor,229897,
2741,small_factor,29,
2746,small_factor,17,
2753,small_factor,79,
2758,small_factor,197,
2761,composite_prp,,19327
2762,small_factor,7,
2773,composite_prp,,19411
2777,small_factor,47,
2782,small_factor,7,
2786,composite_prp,,19502
2797,composite_prp,,19579
2798,small_factor,17,
2801,small_factor,101,
2806,small_factor,787,
2813,composite_prp,,19691
2818,composite_prp,,19726
2821,small_factor,1931,
2822,composite_prp,,19754
2833,small_factor,43,
2837,small_factor,37,
2842,small_factor,277,
2846,small_factor,7,
2857,small_factor,17,
2858,small_factor,41,
2861,small_factor,19,
2866,small_factor,7,
2873,small_factor,313,
2878,small_factor,7,
2881,small_factor,28559,
2882,small_factor,11,
2893,small_factor,122041,
2897,small_factor,29,
2902,small_factor,17,
2906,small_factor,83,
2917,small_factor,109,
2918,small_factor,7,
2921,composite_prp,,20447
2926,small_factor,11,
2933,composite_prp,,20531
2938,small_factor,73,
2941,small_factor,37,
2942,small_factor,37,
2953,small_factor,19,
2957,small_factor,41,
2962,small_factor,7,
2966,small_factor,17,
2977,small_factor,223,
2978,small_factor,78497,
2981,small_factor,13,
2986,composite_prp,,20902
2993,small_factor,251,
2998,composite_prp,,20986
